lexeme     lineno tokenName       value      parentNode  leaf nodeSymbol
-------------------------------------------------------------------
----       0     NONTERMINAL                arithmeticExpression no  term
----       0     NONTERMINAL                arithmeticExpression no  expPrime
----       0     NONTERMINAL                factor       no  arithmeticExpression
           0     TK_CL                      factor       yes ----
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                arithmeticExpression no  term
----       0     NONTERMINAL                arithmeticExpression no  expPrime
----       0     NONTERMINAL                assignmentStmt no  arithmeticExpression
           0     TK_SEM                     assignmentStmt yes ----
----       0     NONTERMINAL                stmt         no  assignmentStmt
----       0     NONTERMINAL                otherStmts   no  stmt
----       0     NONTERMINAL                otherStmts   no  otherStmts
----       0     NONTERMINAL                otherStmts   no  otherStmts
----       0     NONTERMINAL                stmts        no  otherStmts
----       0     NONTERMINAL                stmts        no  returnStmt
----       0     NONTERMINAL                function     no  stmts
           0     TK_END                     function     yes ----
----       0     NONTERMINAL                otherFunctions no  function
----       0     NONTERMINAL                otherFunctions no  otherFunctions
----       0     NONTERMINAL                program      no  otherFunctions
----       0     NONTERMINAL                program      no  mainFunction
----       0     NONTERMINAL                ROOT         no  program
