lexeme     lineno tokenName       value      parentNode  leaf nodeSymbol
-------------------------------------------------------------------
c3         17    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                expPrime     no  term
----       0     NONTERMINAL                expPrime     no  expPrime
----       0     NONTERMINAL                arithmeticExpression no  expPrime
----       0     NONTERMINAL                assignmentStmt no  arithmeticExpression
;          17    TK_SEM                     assignmentStmt yes ----
----       0     NONTERMINAL                stmt         no  assignmentStmt
----       0     NONTERMINAL                otherStmts   no  stmt
while      18    TK_WHILE                   iterativeStmt yes ----
(          18    TK_OP                      iterativeStmt yes ----
b5b567     18    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                booleanExpression no  var
<=         18    TK_LE                      relationalOp yes ----
----       0     NONTERMINAL                booleanExpression no  relationalOp
d5cc34     18    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                booleanExpression no  var
----       0     NONTERMINAL                iterativeStmt no  booleanExpression
)          18    TK_CL                      iterativeStmt yes ----
read       19    TK_READ                    ioStmt       yes ----
(          19    TK_OP                      ioStmt       yes ----
c3bd       19    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                ioStmt       no  var
)          19    TK_CL                      ioStmt       yes ----
;          19    TK_SEM                     ioStmt       yes ----
----       0     NONTERMINAL                stmt         no  ioStmt
----       0     NONTERMINAL                iterativeStmt no  stmt
d3         20    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                assignmentStmt no  singleOrRecId
