Lexeme                CurrentNode                     LineNo  TokenName               ValueIfNum    ParentNodeSymbol                IsLeaf  NodeSymbol
----------------------------------------------------------------------------------------------------------------------------
eps                   ----                            5       TK_EOF                  ---           otherFunctions                  yes     ----
----                  otherFunctions                  5       ----                    ---           program                         no      otherFunctions
----                  program                         0       ----                    ---           ROOT                            no      program
_main                 ----                            5       TK_MAIN                 ---           mainFunction                    yes     ----
----                  mainFunction                    5       ----                    ---           program                         no      mainFunction
eps                   ----                            5       TK_EOF                  ---           typeDefinitions                 yes     ----
----                  typeDefinitions                 5       ----                    ---           stmts                           no      typeDefinitions
----                  stmts                           0       ----                    ---           mainFunction                    no      stmts
eps                   ----                            5       TK_EOF                  ---           declarations                    yes     ----
----                  declarations                    5       ----                    ---           stmts                           no      declarations
[                     ----                            5       TK_SQL                  ---           outputParameters                yes     ----
----                  outputParameters                5       ----                    ---           funCallStmt                     no      outputParameters
c3                    ----                            5       TK_ID                   ---           idList                          yes     ----
----                  idList                          5       ----                    ---           outputParameters                no      idList
,                     ----                            5       TK_COMMA                ---           more_ids                        yes     ----
----                  more_ids                        5       ----                    ---           idList                          no      more_ids
eps                   ----                            0       TK_ASSIGNOP             ---           more_ids                        yes     ----
]                     ----                            5       TK_SQR                  ---           outputParameters                yes     ----
                      ----                            5       TK_ASSIGNOP             ---           outputParameters                yes     ----
----                  funCallStmt                     0       ----                    ---           stmt                            no      funCallStmt
                      ----                            5       TK_CALL                 ---           funCallStmt                     yes     ----
                      ----                            5       TK_FUNID                ---           funCallStmt                     yes     ----
                      ----                            5       TK_WITH                 ---           funCallStmt                     yes     ----
                      ----                            5       TK_PARAMETERS           ---           funCallStmt                     yes     ----
[                     ----                            5       TK_SQL                  ---           inputParameters                 yes     ----
----                  inputParameters                 5       ----                    ---           funCallStmt                     no      inputParameters
c6                    ----                            5       TK_ID                   ---           idList                          yes     ----
----                  idList                          5       ----                    ---           inputParameters                 no      idList
eps                   ----                            5       TK_EOF                  ---           more_ids                        yes     ----
----                  more_ids                        5       ----                    ---           idList                          no      more_ids
]                     ----                            5       TK_SQR                  ---           inputParameters                 yes     ----
;                     ----                            5       TK_SEM                  ---           funCallStmt                     yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           stmts                           no      otherStmts
d4cbcd5677            ----                            6       TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   6       ----                    ---           assignmentStmt                  no      singleOrRecId
eps                   ----                            6       TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       6       ----                    ---           singleOrRecId                   no      option_single_constructed
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            6       TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
(                     ----                            6       TK_OP                   ---           factor                          yes     ----
----                  factor                          6       ----                    ---           term                            no      factor
(                     ----                            6       TK_OP                   ---           factor                          yes     ----
----                  factor                          6       ----                    ---           term                            no      factor
c3                    ----                            6       TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   6       ----                    ---           var                             no      singleOrRecId
eps                   ----                            6       TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       6       ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            6       TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       6       ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           factor                          no      arithmeticExpression
+                     ----                            6       TK_PLUS                 ---           lowPrecedenceOperators          yes     ----
----                  lowPrecedenceOperators          6       ----                    ---           expPrime                        no      lowPrecedenceOperators
----                  expPrime                        0       ----                    ---           arithmeticExpression            no      expPrime
2                     ----                            6       TK_NUM                  2             var                             yes     ----
----                  var                             6       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           expPrime                        no      term
*                     ----                            6       TK_MUL                  ---           highPrecedenceOperators         yes     ----
----                  highPrecedenceOperators         6       ----                    ---           termPrime                       no      highPrecedenceOperators
----                  termPrime                       0       ----                    ---           term                            no      termPrime
c4                    ----                            6       TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   6       ----                    ---           var                             no      singleOrRecId
eps                   ----                            6       TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       6       ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           termPrime                       no      factor
eps                   ----                            6       TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       6       ----                    ---           termPrime                       no      termPrime
-                     ----                            6       TK_MINUS                ---           lowPrecedenceOperators          yes     ----
----                  lowPrecedenceOperators          6       ----                    ---           expPrime                        no      lowPrecedenceOperators
----                  expPrime                        0       ----                    ---           expPrime                        no      expPrime
(                     ----                            6       TK_OP                   ---           factor                          yes     ----
----                  factor                          6       ----                    ---           term                            no      factor
c5                    ----                            6       TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   6       ----                    ---           var                             no      singleOrRecId
eps                   ----                            6       TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       6       ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            6       TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       6       ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           factor                          no      arithmeticExpression
-                     ----                            6       TK_MINUS                ---           lowPrecedenceOperators          yes     ----
----                  lowPrecedenceOperators          6       ----                    ---           expPrime                        no      lowPrecedenceOperators
----                  expPrime                        0       ----                    ---           arithmeticExpression            no      expPrime
5                     ----                            6       TK_NUM                  5             var                             yes     ----
----                  var                             6       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           expPrime                        no      term
eps                   ----                            6       TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       6       ----                    ---           term                            no      termPrime
eps                   ----                            6       TK_EOF                  ---           expPrime                        yes     ----
----                  expPrime                        6       ----                    ---           expPrime                        no      expPrime
)                     ----                            6       TK_CL                   ---           factor                          yes     ----
----                  term                            0       ----                    ---           expPrime                        no      term
eps                   ----                            6       TK_EOF                  ---           termPrime                       yes     ----
