Lexeme                CurrentNode                     LineNo  TokenName               ValueIfNum    ParentNodeSymbol                IsLeaf  NodeSymbol
;                     ----                            13      TK_SEM                  ---           returnStmt                      yes     ----
end                   ----                            14      TK_END                  ---           function                        yes     ----
----                  otherFunctions                  0       ----                    ---           program                         no      otherFunctions
eps                   ----                            20      TK_EOF                  ---           otherFunctions                  yes     ----
----                  otherFunctions                  20      ----                    ---           otherFunctions                  no      otherFunctions
----                  program                         0       ----                    ---           ROOT                            no      program
_main                 ----                            20      TK_MAIN                 ---           mainFunction                    yes     ----
----                  mainFunction                    20      ----                    ---           program                         no      mainFunction
record                ----                            21      TK_RECORD               ---           typeDefinition                  yes     ----
----                  typeDefinition                  21      ----                    ---           actualOrRedefined               no      typeDefinition
#marks                ----                            21      TK_RUID                 ---           typeDefinition                  yes     ----
type                  ----                            22      TK_TYPE                 ---           fieldDefinition                 yes     ----
----                  fieldDefinition                 22      ----                    ---           fieldDefinitions                no      fieldDefinition
real                  ----                            22      TK_REAL                 ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               22      ----                    ---           fieldType                       no      primitiveDatatype
----                  fieldType                       0       ----                    ---           fieldDefinition                 no      fieldType
:                     ----                            22      TK_COLON                ---           fieldDefinition                 yes     ----
maths                 ----                            22      TK_FIELDID              ---           fieldDefinition                 yes     ----
;                     ----                            22      TK_SEM                  ---           fieldDefinition                 yes     ----
----                  fieldDefinitions                0       ----                    ---           typeDefinition                  no      fieldDefinitions
type                  ----                            23      TK_TYPE                 ---           fieldDefinition                 yes     ----
----                  fieldDefinition                 23      ----                    ---           fieldDefinitions                no      fieldDefinition
real                  ----                            23      TK_REAL                 ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               23      ----                    ---           fieldType                       no      primitiveDatatype
----                  fieldType                       0       ----                    ---           fieldDefinition                 no      fieldType
:                     ----                            23      TK_COLON                ---           fieldDefinition                 yes     ----
physics               ----                            23      TK_FIELDID              ---           fieldDefinition                 yes     ----
;                     ----                            23      TK_SEM                  ---           fieldDefinition                 yes     ----
type                  ----                            24      TK_TYPE                 ---           fieldDefinition                 yes     ----
----                  fieldDefinition                 24      ----                    ---           moreFields                      no      fieldDefinition
real                  ----                            24      TK_REAL                 ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               24      ----                    ---           fieldType                       no      primitiveDatatype
----                  fieldType                       0       ----                    ---           fieldDefinition                 no      fieldType
:                     ----                            24      TK_COLON                ---           fieldDefinition                 yes     ----
chemistry             ----                            24      TK_FIELDID              ---           fieldDefinition                 yes     ----
;                     ----                            24      TK_SEM                  ---           fieldDefinition                 yes     ----
----                  moreFields                      0       ----                    ---           fieldDefinitions                no      moreFields
eps                   ----                            25      TK_EOF                  ---           moreFields                      yes     ----
----                  moreFields                      25      ----                    ---           moreFields                      no      moreFields
endrecord             ----                            25      TK_ENDRECORD            ---           typeDefinition                  yes     ----
----                  actualOrRedefined               0       ----                    ---           typeDefinitions                 no      actualOrRedefined
----                  typeDefinitions                 0       ----                    ---           stmts                           no      typeDefinitions
eps                   ----                            28      TK_EOF                  ---           typeDefinitions                 yes     ----
----                  typeDefinitions                 28      ----                    ---           typeDefinitions                 no      typeDefinitions
----                  stmts                           0       ----                    ---           mainFunction                    no      stmts
type                  ----                            28      TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     28      ----                    ---           declarations                    no      declaration
record                ----                            28      TK_RECORD               ---           constructedDatatype             yes     ----
----                  constructedDatatype             28      ----                    ---           dataType                        no      constructedDatatype
#marks                ----                            28      TK_RUID                 ---           constructedDatatype             yes     ----
----                  dataType                        0       ----                    ---           declaration                     no      dataType
:                     ----                            28      TK_COLON                ---           declaration                     yes     ----
d4                    ----                            28      TK_ID                   ---           declaration                     yes     ----
eps                   ----                            28      TK_EOF                  ---           global_or_not                   yes     ----
----                  global_or_not                   28      ----                    ---           declaration                     no      global_or_not
;                     ----                            28      TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           stmts                           no      declarations
type                  ----                            31      TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     31      ----                    ---           declarations                    no      declaration
int                   ----                            31      TK_INT                  ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               31      ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           declaration                     no      dataType
:                     ----                            31      TK_COLON                ---           declaration                     yes     ----
b5                    ----                            31      TK_ID                   ---           declaration                     yes     ----
eps                   ----                            31      TK_EOF                  ---           global_or_not                   yes     ----
----                  global_or_not                   31      ----                    ---           declaration                     no      global_or_not
;                     ----                            31      TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           declarations                    no      declarations
type                  ----                            32      TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     32      ----                    ---           declarations                    no      declaration
int                   ----                            32      TK_INT                  ---           primitiveDatatype               yes     ----
----                  primitiveDatatype               32      ----                    ---           dataType                        no      primitiveDatatype
----                  dataType                        0       ----                    ---           declaration                     no      dataType
:                     ----                            32      TK_COLON                ---           declaration                     yes     ----
d5cb34567             ----                            32      TK_ID                   ---           declaration                     yes     ----
eps                   ----                            32      TK_EOF                  ---           global_or_not                   yes     ----
----                  global_or_not                   32      ----                    ---           declaration                     no      global_or_not
;                     ----                            32      TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           declarations                    no      declarations
type                  ----                            33      TK_TYPE                 ---           declaration                     yes     ----
----                  declaration                     33      ----                    ---           declarations                    no      declaration
record                ----                            33      TK_RECORD               ---           constructedDatatype             yes     ----
----                  constructedDatatype             33      ----                    ---           dataType                        no      constructedDatatype
#marks                ----                            33      TK_RUID                 ---           constructedDatatype             yes     ----
----                  dataType                        0       ----                    ---           declaration                     no      dataType
:                     ----                            33      TK_COLON                ---           declaration                     yes     ----
b5c6                  ----                            33      TK_ID                   ---           declaration                     yes     ----
eps                   ----                            33      TK_EOF                  ---           global_or_not                   yes     ----
----                  global_or_not                   33      ----                    ---           declaration                     no      global_or_not
;                     ----                            33      TK_SEM                  ---           declaration                     yes     ----
----                  declarations                    0       ----                    ---           declarations                    no      declarations
eps                   ----                            36      TK_EOF                  ---           declarations                    yes     ----
----                  declarations                    36      ----                    ---           declarations                    no      declarations
b5                    ----                            36      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   36      ----                    ---           assignmentStmt                  no      singleOrRecId
eps                   ----                            36      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       36      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            36      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
1                     ----                            36      TK_NUM                  1             var                             yes     ----
----                  var                             36      ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            36      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       36      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           assignmentStmt                  no      arithmeticExpression
eps                   ----                            36      TK_EOF                  ---           expPrime                        yes     ----
----                  expPrime                        36      ----                    ---           arithmeticExpression            no      expPrime
;                     ----                            36      TK_SEM                  ---           assignmentStmt                  yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           stmts                           no      otherStmts
read                  ----                            37      TK_READ                 ---           ioStmt                          yes     ----
----                  ioStmt                          37      ----                    ---           stmt                            no      ioStmt
(                     ----                            37      TK_OP                   ---           ioStmt                          yes     ----
d5cb34567             ----                            37      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   37      ----                    ---           var                             no      singleOrRecId
eps                   ----                            37      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       37      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           ioStmt                          no      var
)                     ----                            37      TK_CL                   ---           ioStmt                          yes     ----
;                     ----                            37      TK_SEM                  ---           ioStmt                          yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           otherStmts                      no      otherStmts
b5c6                  ----                            38      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   38      ----                    ---           assignmentStmt                  no      singleOrRecId
.                     ----                            38      TK_DOT                  ---           oneExpansion                    yes     ----
----                  oneExpansion                    38      ----                    ---           option_single_constructed       no      oneExpansion
maths                 ----                            38      TK_FIELDID              ---           oneExpansion                    yes     ----
----                  option_single_constructed       0       ----                    ---           singleOrRecId                   no      option_single_constructed
eps                   ----                            38      TK_EOF                  ---           moreExpansions                  yes     ----
----                  moreExpansions                  38      ----                    ---           option_single_constructed       no      moreExpansions
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            38      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
0.00                  ----                            38      TK_RNUM                 0.00          var                             yes     ----
----                  var                             38      ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            38      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       38      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           assignmentStmt                  no      arithmeticExpression
eps                   ----                            38      TK_EOF                  ---           expPrime                        yes     ----
----                  expPrime                        38      ----                    ---           arithmeticExpression            no      expPrime
;                     ----                            38      TK_SEM                  ---           assignmentStmt                  yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           otherStmts                      no      otherStmts
b5c6                  ----                            39      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   39      ----                    ---           assignmentStmt                  no      singleOrRecId
.                     ----                            39      TK_DOT                  ---           oneExpansion                    yes     ----
----                  oneExpansion                    39      ----                    ---           option_single_constructed       no      oneExpansion
physics               ----                            39      TK_FIELDID              ---           oneExpansion                    yes     ----
----                  option_single_constructed       0       ----                    ---           singleOrRecId                   no      option_single_constructed
eps                   ----                            39      TK_EOF                  ---           moreExpansions                  yes     ----
----                  moreExpansions                  39      ----                    ---           option_single_constructed       no      moreExpansions
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            39      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
0.00                  ----                            39      TK_RNUM                 0.00          var                             yes     ----
----                  var                             39      ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            39      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       39      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           assignmentStmt                  no      arithmeticExpression
eps                   ----                            39      TK_EOF                  ---           expPrime                        yes     ----
----                  expPrime                        39      ----                    ---           arithmeticExpression            no      expPrime
;                     ----                            39      TK_SEM                  ---           assignmentStmt                  yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           otherStmts                      no      otherStmts
b5c6                  ----                            40      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   40      ----                    ---           assignmentStmt                  no      singleOrRecId
.                     ----                            40      TK_DOT                  ---           oneExpansion                    yes     ----
----                  oneExpansion                    40      ----                    ---           option_single_constructed       no      oneExpansion
chemistry             ----                            40      TK_FIELDID              ---           oneExpansion                    yes     ----
----                  option_single_constructed       0       ----                    ---           singleOrRecId                   no      option_single_constructed
eps                   ----                            40      TK_EOF                  ---           moreExpansions                  yes     ----
----                  moreExpansions                  40      ----                    ---           option_single_constructed       no      moreExpansions
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            40      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
0.00                  ----                            40      TK_RNUM                 0.00          var                             yes     ----
----                  var                             40      ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
eps                   ----                            40      TK_EOF                  ---           termPrime                       yes     ----
----                  termPrime                       40      ----                    ---           term                            no      termPrime
----                  arithmeticExpression            0       ----                    ---           assignmentStmt                  no      arithmeticExpression
eps                   ----                            40      TK_EOF                  ---           expPrime                        yes     ----
----                  expPrime                        40      ----                    ---           arithmeticExpression            no      expPrime
;                     ----                            40      TK_SEM                  ---           assignmentStmt                  yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           otherStmts                      no      otherStmts
while                 ----                            41      TK_WHILE                ---           iterativeStmt                   yes     ----
----                  iterativeStmt                   41      ----                    ---           stmt                            no      iterativeStmt
(                     ----                            41      TK_OP                   ---           iterativeStmt                   yes     ----
b5                    ----                            41      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   41      ----                    ---           var                             no      singleOrRecId
eps                   ----                            41      TK_EOF                  ---           option_single_constructed       yes     ----
